,Province/State,Country/Region,Lat,Long,Date,cases
361,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-15,0
362,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-16,0
363,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-16,18
364,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-16,0
365,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-17,0
366,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-17,18
367,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-17,0
368,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-18,0
369,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-18,18
370,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-18,0
371,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-19,0
372,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-19,20
373,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-19,0
374,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-02,0
375,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-02,18
376,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-02,0
377,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-20,0
378,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-20,20
379,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-20,0
380,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-21,0
381,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-21,20
382,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-21,0
383,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-22,0
384,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-22,20
385,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-22,0
386,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-23,0
387,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-23,20
388,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-23,0
389,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-24,0
390,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-24,20
391,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-24,0
392,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-25,0
393,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-25,20
394,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-25,0
